month,no_of_rainy_days,total_rainfall,maximum_rainfall_in_a_day,mean_sunshine_hrs,mean_rh,temp_mean_daily_min,wet_bulb_temperature
2011-05,15,127.0,34.2,5.9,85.3,25.2,26.479166666666668
2011-06,15,213.0,82.0,5.0,83.7,25.2,26.13875
2011-07,7,76.6,30.0,7.8,81.3,25.5,26.110483870967744
2011-08,13,81.4,30.2,6.1,82.6,25.6,25.56048387096774
2011-09,14,136.4,40.4,5.1,82.7,25.1,25.50986111111111
2011-10,20,216.8,54.0,5.3,87.4,24.7,25.508198924731182
2011-11,24,377.8,78.6,4.6,87.8,24.6,25.45347222222222
2011-12,21,284.6,87.4,3.3,88.4,24.5,25.062634408602147
2012-01,16,106.1,26.2,6.0,87.3,24.3,25.007930107526885
2012-02,11,83.6,38.4,7.0,85.6,24.8,25.257183908045977
2012-03,21,313.4,92.3,4.2,87.3,24.4,25.314247311827955
2012-04,20,260.6,48.4,5.8,85.1,24.8,25.57111111111111
2012-05,19,292.0,79.2,5.6,83.1,24.8,25.842473118279568
2012-06,8,53.0,38.2,6.0,79.0,26.3,25.799305555555556
2012-07,17,130.8,35.4,6.2,81.1,25.3,25.18494623655914
2012-08,12,119.0,31.0,6.1,79.8,25.4,25.202016129032256
2012-09,10,107.6,35.8,5.6,79.7,25.3,25.150555555555556
2012-10,13,122.2,22.6,5.9,81.3,25.2,25.155779569892474
2012-11,22,208.2,49.2,4.4,85.4,24.7,25.138472222222223
2012-12,22,363.4,78.8,3.6,87.0,24.4,24.978494623655912
2013-01,15,262.0,73.0,6.0,82.1,24.6,24.62849462365591
2013-02,22,395.2,95.2,4.0,86.9,24.3,24.79285714285714
2013-03,10,85.8,29.6,7.5,80.4,25.6,25.5497311827957
2013-04,19,159.4,41.6,5.2,82.7,25.3,25.81625
2013-05,17,211.4,46.2,5.4,83.1,25.6,25.848387096774193
2013-06,12,111.4,22.4,6.4,74.6,25.9,25.30388888888889
2013-07,15,174.6,37.4,5.7,79.9,25.2,25.04193548387097
2013-08,15,165.6,43.2,6.1,79.0,25.1,25.04422043010753
2013-09,19,257.0,52.6,4.6,81.3,24.8,25.012916666666666
2013-10,19,285.4,139.8,6.3,79.9,24.6,24.95766129032258
2013-11,22,292.4,44.0,4.5,84.6,24.5,25.066666666666666
2013-12,21,348.2,119.8,3.5,85.8,24.1,24.609139784946237
2014-01,5,75.4,31.2,5.3,78.5,24.0,23.391129032258064
2014-02,1,0.2,0.2,8.8,74.5,24.5,23.708333333333332
2014-03,6,66.0,52.6,8.0,76.0,25.1,24.54462365591398
2014-04,17,110.0,28.8,5.7,80.0,25.5,25.461805555555557
